Date,Province Old,Suspected Cases Last Date,Suspected Cases Last 24 Hrs,Suspected Cases Cumulative,Lab Tests Last 24 Hrs,Lab Tests Cumulative,Confirmed Cases Last Date,Confirmed Cases Last 24 Hrs,Confirmed Cases Cumulative, Deaths Last Date, Deaths Last 24 Hrs, Deaths Cumulative, Deaths Ventilator Last 24 Hrs,Transmission Total,Transmission Foreign - Iran,Transmission Foreign - Iran %,Transmission Foreign - Other,Transmission Foreign - Other %,Transmission Local - Tableegh,Transmission Local % - Tableegh,Transmission Local - Others,Transmission Local % - Others,Transmission Local,Transmission Local %,Total Hospitals,Beds for COVID,Total Admitted,Admitted Stable,Admitted Critical,Admitted Venilator,Home Quarantine,Recovered,Death,Quarantine Facilities,Last 24 Hrs Arrival,Last 24 Hrs (Location),Last 24 Hrs Departure,Cumulative Quarantined,Number of Tests,Results Achieved,Test Positive Cases,Test Positive Cases %,Confirmed HW - Active Doctors,Confirmed HW - Active Nurses,Confirmed HW - Active Others,Confirmed HW - Active Total,Confirmed HW - Active Isolation,Confirmed HW - Active Hospital,Confirmed HW - Active Hospital Stable,Confirmed HW - Active Hospital Ventilator,Confirmed HW - Active Recovered,Confirmed HW - Active Deaths,Test
5/16/2020,AJK,3411,161,3572,161,3572,105,3,108,1,0,1,0,108,2,0.02,12,0.11,8,0.07,86,0.8,94,0.87,16,329,43,31,30,1,0,0,76,1,0,0,0,0,0,0,0,0,0,1,0,4,5,0,1,1,0,4,0
5/16/2020,Balochistan,18255,354,18609,457,17078,2310,147,2457,30,1,31,1,2457,146,0.06,2,0,13,0.01,2296,0.93,2309,0.94,96,2136,61,32,30,2,0,2011,383,31,0,0,0,0,0,0,0,0,0,115,4,37,156,117,0,0,0,38,1
5/16/2020,GB,6573,87,6660,146,6173,501,17,518,4,0,4,0,518,166,0.32,5,0.01,27,0.05,320,0.62,347,0.67,26,151,13,24,24,0,0,145,345,4,0,0,0,0,0,0,0,0,0,4,2,25,31,0,12,12,0,17,2
5/16/2020,ICT,23409,958,24367,958,24367,866,55,921,7,0,7,0,921,0,0,19,0.02,12,0.01,890,0.97,902,0.98,21,430,90,30,23,3,4,784,100,7,0,0,0,0,0,0,0,0,0,52,37,30,119,106,2,2,0,10,1
5/16/2020,KP,34806,1637,36443,1637,37452,5423,255,5678,284,7,291,7,5678,71,0.01,746,0.13,315,0.06,4546,0.8,4861,0.86,200,5598,401,522,395,81,46,3252,1613,291,0,0,0,0,0,0,0,0,0,151,58,141,350,125,125,125,0,97,3
5/16/2020,Punjab,126538,6055,132593,5953,157226,13914,287,14201,234,11,245,11,14201,768,0.05,1127,0.08,1926,0.14,10380,0.73,12306,0.87,207,7753,378,6418,6366,18,34,2780,4757,245,0,0,0,0,0,0,0,0,0,85,46,53,184,23,89,89,0,72,0
5/16/2020,Sindh,107830,5566,113396,5566,113396,14099,817,14916,243,12,255,12,14916,280,0.02,797,0.05,767,0.05,13072,0.88,13839,0.93,169,4688,197,1404,1300,72,32,9651,3606,255,0,0,0,0,0,0,0,0,0,161,20,46,227,163,13,11,2,46,5
5/17/2020,AJK,3572,186,3758,186,3758,108,4,112,1,0,1,0,112,2,0.02,12,0.11,8,0.07,90,0.8,98,0.88,16,329,43,34,32,2,0,0,77,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,4,5,0,1,1,0,4,0
5/17/2020,Balochistan,18609,18,18627,585,17663,2457,87,2544,31,5,36,5,2544,146,0.06,2,0,13,0.01,2383,0.94,2396,0.94,96,2136,61,32,30,2,0,2059,417,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,116,4,37,157,118,0,0,0,38,1
5/17/2020,GB,6660,148,6808,183,6356,518,9,527,4,0,4,0,527,166,0.31,5,0.01,27,0.05,329,0.62,356,0.68,26,151,13,21,21,0,0,154,348,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,26,32,0,13,13,0,17,2
5/17/2020,ICT,24367,1018,25385,1018,25385,921,26,947,7,0,7,0,947,0,0,20,0.02,12,0.01,915,0.97,927,0.98,21,430,90,28,22,4,2,799,113,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,39,37,130,117,2,2,0,10,1
5/17/2020,KP,36443,1470,37913,1470,38922,5678,169,5847,291,14,305,14,5847,71,0.01,753,0.13,315,0.05,4708,0.81,5023,0.86,200,5598,401,512,374,96,42,3331,1699,305,-1,-1,-1,-1,-1,-1,-1,-1,-1,159,59,143,361,204,42,42,0,112,3
5/17/2020,Punjab,132593,5918,138511,6266,163466,14201,383,14584,245,7,252,7,14584,768,0.05,1155,0.08,1926,0.13,10735,0.74,12661,0.87,207,7753,378,6669,6617,18,34,2780,4883,252,-1,-1,-1,-1,-1,-1,-1,-1,-1,77,81,77,235,43,93,93,0,99,0
5/17/2020,Sindh,113393,4467,117860,4467,117860,14916,674,15590,255,13,268,13,15590,280,0.02,836,0.05,767,0.05,13707,0.88,14474,0.93,169,4688,203,1384,1265,87,32,10134,3804,268,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,22,49,249,185,13,11,2,46,5
5/20/2020,AJK,4090,23,4242,152,4242,115,18,133,1,0,1,0,133,2,0.02,12,0.09,8,0.06,111,0.83,119,0.89,16,329,43,55,51,4,0,0,77,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,4,5,0,1,1,0,4,0
5/20/2020,Balochistan,19029,140,19381,565,19003,2820,65,2885,38,0,38,0,2885,146,0.05,2,0,13,0,2724,0.94,2737,0.95,96,2136,61,42,39,3,0,2197,608,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,143,4,59,206,157,0,0,0,48,1
5/20/2020,GB,6985,0,7071,95,6731,550,6,556,4,0,4,0,556,166,0.3,5,0.01,27,0.05,358,0.64,385,0.69,26,151,62,20,20,0,0,142,390,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,31,37,0,15,15,0,20,2
5/20/2020,ICT,27425,0,29033,1608,29033,1034,104,1138,9,0,9,0,1138,0,0,22,0.02,12,0.01,1104,0.97,1116,0.98,21,430,90,30,23,5,2,948,151,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,41,41,139,123,3,3,0,12,1
